ID;Age range;Gender;Education level;Employment status;Occupation (optional);Tech usage frequency;Knowledge about AI;Trust AI?;Beneficial or harmful?;AI use 1 to 5;Like AI products in future?;AI threatens individual freedoms;Could AI eliminate professions?;Could AI affect your job?;AI should be limited by ethical rules?;Could AI become conscious like humans?;NOT an AI application?;ML algo used in AI field ;Which type of AI is ChatGPT
1;18-24;Male;Bachelor's degree;Student;;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;4;Yes;Agree;Yes;Yes;Undecided;Becoming;WhatsApp;Game algorithm;Web browser
2;18-24;Female;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;No;More harmful than beneficial;3;Undecided;Agree;Undecided;Undecided;Agree;Becoming;WhatsApp;HTML;Web browser
3;18-24;Male;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;3;Yes;Agree;Yes;Undecided;Agree;No;WhatsApp;Linear regression;NLP
4;18-24;Male;Bachelor's degree;Student;Engineer;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Undecided;Yes;Think;Agree;Undecided;WhatsApp;HTML;Web browser
5;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;Undecided;Agree;Undecided;WhatsApp;Don't know;Web browser
6;18-24;Female;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;3;Yes;Strongly disagree;No;No;Strongly Agree;No;WhatsApp;Linear regression;NLP
7;18-24;Male;High school;Student;Student;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Undecided;Yes;Undecided;Strongly Agree;No;WhatsApp;Don't know;NLP
8;18-24;Male;High school;Student;Student;More than 10 hours per day;Good level knowledge;Undecided;More beneficial than harmful;1;Yes;Agree;Yes;Undecided;Agree;No;WhatsApp;Linear regression;Web browser
9;Under 18;Male;High school;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Yes;Definitely beneficial;3;Undecided;Undecided;Yes;No;Agree;No;WhatsApp;HTML;Image processing
10;Under 18;Female;Primary education;Student;Student;Between 2 to 5 hours per day;Heard a little;Yes;Both beneficial and harmful;4;Yes;Disagree;Yes;Undecided;Agree;No;Don't know;Don't know;Web browser
11;Under 18;Female;Primary education;Student;Student;Between 0 to 2 hours per day;Heard a little;No;Both beneficial and harmful;1;No;Strongly Agree;Yes;No;Undecided;Becoming;Netflix recommendations;Don't know;Web browser
12;18-24;Male;Bachelor's degree;Student;;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;4;Yes;Undecided;Yes;Yes;Strongly Agree;Becoming;WhatsApp;Linear regression;NLP
13;Under 18;Female;Primary education;Student;Student;Between 0 to 2 hours per day;Heard a little;No;Both beneficial and harmful;1;No;Agree;Yes;No;Agree;Becoming;Netflix recommendations;Don't know;Web browser
14;Under 18;Female;Primary education;Student;Student;Between 2 to 5 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;No;Agree;Becoming;Netflix recommendations;Don't know;Web browser
15;Under 18;Female;High school;Student;Student;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Agree;Yes;Undecided;Strongly Agree;Becoming;Netflix recommendations;Don't know;Web browser
16;18-24;Male;Bachelor's degree;Student;Student;Between 2 to 5 hours per day;Good level knowledge;No;More beneficial than harmful;4;Yes;Agree;Yes;Think;Agree;Becoming;WhatsApp;Linear regression;NLP
17;35-44;Male;Bachelor's degree;Employed;Engineer;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;3;Yes;Undecided;No;Think;Agree;No;WhatsApp;Don't know;NLP
18;35-44;Female;Primary education;Unemployed;Housewife;Between 2 to 5 hours per day;No knowledge;Undecided;Both beneficial and harmful;2;No;Undecided;Yes;No;Agree;No;Don't know;Don't know;Don't know
19;18-24;Male;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;4;Undecided;Undecided;Undecided;No;Undecided;Undecided;Don't know;Don't know;Image processing
20;45 and older;Male;High school;Employed;Textile;Between 0 to 2 hours per day;Heard a little;No;More harmful than beneficial;1;No;Strongly disagree;Yes;No;Strongly Agree;Becoming;WhatsApp;Excel;Don't know
21;18-24;Male;Bachelor's degree;Student;Engineer;Between 2 to 5 hours per day;Good level knowledge;Yes;Both beneficial and harmful;3;Yes;Disagree;Yes;No;Agree;Becoming;WhatsApp;Linear regression;NLP
22;18-24;Male;High school;Employed;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Strongly disagree;Yes;No;Agree;Becoming;WhatsApp;Linear regression;Web browser
23;35-44;Female;Primary education;Unemployed;Housewife ;Between 0 to 2 hours per day;Heard a little;Yes;Both beneficial and harmful;1;No;Strongly Agree;Yes;Undecided;Agree;Undecided;Netflix recommendations;Don't know;NLP
24;35-44;Female;Primary education;Unemployed;Housewife;Between 0 to 2 hours per day;No knowledge;Undecided;More harmful than beneficial;4;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;Netflix recommendations;Don't know;Don't know
25;35-44;Female;Primary education;Unemployed;Housewife;Between 0 to 2 hours per day;No knowledge;Undecided;More harmful than beneficial;4;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;Netflix recommendations;Don't know;Don't know
26;35-44;Female;Primary education;Unemployed;Housewife;Between 2 to 5 hours per day;Basic knowledge;Undecided;More beneficial than harmful;3;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;Siri;Game algorithm;Image processing
27;Under 18;Male;High school;Student;;Between 5 to 10 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Yes;Undecided;Yes;Undecided;Undecided;Definitely Becoming;Netflix recommendations;Don't know;Web browser
28;Under 18;Male;Primary education;Student;Student;Between 2 to 5 hours per day;Heard a little;Yes;Both beneficial and harmful;5;Yes;Agree;Undecided;Think;Agree;Becoming;Netflix recommendations;Don't know;Don't know
29;35-44;Male;High school;Employed;Sales & Marketing;Between 0 to 2 hours per day;Basic knowledge;No;Definitely harmful;1;No;Strongly disagree;No;Yes;Strongly Agree;No;Don't know;Don't know;Don't know
30;35-44;Female;Primary education;Unemployed;Housewife ;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Undecided;Undecided;Yes;Undecided;Agree;Becoming;Don't know;Don't know;Don't know
31;18-24;Female;High school;Employed;Textile;Between 2 to 5 hours per day;Heard a little;Undecided;More harmful than beneficial;1;Undecided;Disagree;Undecided;No;I disagree;No;Netflix recommendations;Don't know;Don't know
32;Under 18;Female;High school;Student;;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;1;No;Agree;Yes;Undecided;Agree;Becoming;Netflix recommendations;Don't know;Web browser
33;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Undecided;Agree;Yes;Think;Strongly Agree;Definitely Becoming;Netflix recommendations;Don't know;NLP
34;Under 18;Male;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Yes;Strongly disagree;No;No;Strongly disagree;Definitely Becoming;WhatsApp;Don't know;Web browser
35;18-24;Male;Bachelor's degree;Student;Student ;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;2;Undecided;Disagree;No;No;Strongly Agree;No;WhatsApp;Linear regression;NLP
36;18-24;Male;Bachelor's degree;Student;;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;3;Undecided;Undecided;Yes;No;Agree;No;WhatsApp;HTML;Web browser
37;18-24;Male;Bachelor's degree;Student;Student ;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Agree;Yes;No;Agree;Undecided;WhatsApp;Don't know;Web browser
38;35-44;Female;Bachelor's degree;Unemployed;Child development;Between 5 to 10 hours per day;Heard a little;No;Both beneficial and harmful;1;Undecided;Undecided;Yes;No;Agree;Becoming;WhatsApp;Don't know;Oyun geliþtirme
39;35-44;Male;Primary education;Employed;Textile;Between 2 to 5 hours per day;Heard a little;No;Definitely harmful;2;Yes;Strongly disagree;Yes;No;Strongly Agree;Undecided;Don't know;Don't know;Don't know
40;45 and older;Female;Primary education;Unemployed;Housewife;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;5;No;Disagree;Yes;Think;Strongly Agree;Undecided;Netflix recommendations;Don't know;Image processing
41;35-44;Female;Bachelor's degree;Unemployed;Accounting;Between 2 to 5 hours per day;Basic knowledge;No;Both beneficial and harmful;1;Undecided;Agree;Yes;Undecided;Agree;No;WhatsApp;Game algorithm;Image processing
42;35-44;Male;High school;Employed;Office Driver;Between 0 to 2 hours per day;Heard a little;No;Definitely harmful;1;Undecided;Undecided;Yes;No;Undecided;No;WhatsApp;Game algorithm;Image processing
43;18-24;Male;Bachelor's degree;Student;Student;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Undecided;Agree;Yes;Yes;Agree;Becoming;WhatsApp;HTML;NLP
44;35-44;Female;Bachelor's degree;Unemployed;Teacher ;Between 0 to 2 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;No;Agree;Yes;Yes;Strongly Agree;Undecided;WhatsApp;Don't know;NLP
45;18-24;Male;Bachelor's degree;Student;;More than 10 hours per day;Basic knowledge;No;Both beneficial and harmful;5;Undecided;Strongly Agree;Yes;Yes;Strongly Agree;Becoming;WhatsApp;Linear regression;NLP
46;25-34;Male;Bachelor's degree;Employed;Merchandising;Between 5 to 10 hours per day;Basic knowledge;Yes;More beneficial than harmful;2;Yes;Disagree;Yes;Think;Undecided;No;WhatsApp;Linear regression;Web browser
47;18-24;Female;Bachelor's degree;Student;;Between 5 to 10 hours per day;Basic knowledge;Yes;More beneficial than harmful;4;Yes;Disagree;Yes;No;Agree;Undecided;WhatsApp;Linear regression;NLP
48;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Heard a little;No;Definitely harmful;3;Undecided;Agree;Undecided;Undecided;Agree;Definitely Becoming;WhatsApp;Game algorithm;Don't know
49;35-44;Female;Bachelor's degree;Employed;;More than 10 hours per day;Good level knowledge;Yes;More beneficial than harmful;4;Yes;Disagree;Yes;Think;Strongly Agree;Becoming;WhatsApp;Linear regression;NLP
50;18-24;Male;Bachelor's degree;Employed;Real estate agent;Between 2 to 5 hours per day;Good level knowledge;Undecided;More harmful than beneficial;4;Yes;Strongly Agree;Yes;No;Agree;Becoming;Don't know;HTML;NLP
51;18-24;Female;Bachelor's degree;Student;;More than 10 hours per day;No knowledge;No;More harmful than beneficial;1;Undecided;Disagree;Undecided;Undecided;Undecided;Becoming;WhatsApp;Don't know;Image processing
52;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;Yes;More beneficial than harmful;3;Yes;Undecided;Undecided;Undecided;Undecided;Undecided;Netflix recommendations;Excel;NLP
53;18-24;Male;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;4;Undecided;Undecided;Yes;Undecided;Agree;Undecided;WhatsApp;Linear regression;NLP
54;18-24;Male;Bachelor's degree;Student;;More than 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Agree;Yes;Think;Agree;No;WhatsApp;Linear regression;NLP
55;18-24;Male;Bachelor's degree;Student;Engineer;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;5;Yes;Undecided;Yes;Think;Agree;No;WhatsApp;Linear regression;NLP
56;18-24;Male;High school;Student;;More than 10 hours per day;Basic knowledge;Undecided;More harmful than beneficial;3;Yes;Undecided;Yes;Think;Undecided;No;WhatsApp;Linear regression;NLP
57;18-24;Male;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;3;Yes;Undecided;Yes;Think;Agree;Undecided;Netflix recommendations;Linear regression;Web browser
58;18-24;Male;Bachelor's degree;Student;Student;More than 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;4;Yes;Strongly disagree;Yes;Yes;Agree;No;WhatsApp;Linear regression;Web browser
59;18-24;Male;Bachelor's degree;Student;Engineer;More than 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Disagree;Yes;Think;Agree;No;WhatsApp;Don't know;NLP
60;18-24;Male;Bachelor's degree;Student;Student ;Between 2 to 5 hours per day;Basic knowledge;Undecided;More beneficial than harmful;1;Yes;Agree;Yes;Think;Strongly Agree;No;Netflix recommendations;Game algorithm;NLP
61;18-24;Male;Bachelor's degree;Student;;More than 10 hours per day;Basic knowledge;No;More beneficial than harmful;4;Yes;Agree;Undecided;No;Undecided;No;Netflix recommendations;Game algorithm;NLP
62;18-24;Female;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;5;Yes;Agree;Yes;Undecided;Strongly Agree;Becoming;Don't know;Excel;Don't know
63;18-24;Female;Bachelor's degree;Student;;More than 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Undecided;Yes;Undecided;Agree;Becoming;WhatsApp;Don't know;Web browser
64;18-24;Female;Bachelor's degree;Student;Student ;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;4;Yes;Undecided;Yes;No;Undecided;Becoming;WhatsApp;Don't know;Web browser
65;18-24;Female;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;3;Yes;Undecided;Yes;Think;Agree;Becoming;WhatsApp;Don't know;Web browser
66;18-24;Female;Bachelor's degree;Student;;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Undecided;Undecided;No;Agree;No;WhatsApp;HTML;Web browser
67;18-24;Female;Bachelor's degree;Student;Intern;More than 10 hours per day;Good level knowledge;Yes;More beneficial than harmful;5;Yes;Undecided;Yes;Think;Strongly Agree;Becoming;WhatsApp;Don't know;Web browser
68;18-24;Female;Bachelor's degree;Student;;Between 5 to 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;WhatsApp;Don't know;Web browser
69;18-24;Female;Bachelor's degree;Student;;More than 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;4;Undecided;Undecided;Yes;Think;Agree;Undecided;WhatsApp;HTML;Image processing
70;18-24;Female;Bachelor's degree;Student;;Between 2 to 5 hours per day;Expert-level knowledge;Yes;Definitely harmful;3;No;Strongly disagree;Yes;Think;I disagree;No;Don't know;Linear regression;NLP
71;18-24;Female;High school;Student;;Between 5 to 10 hours per day;Heard a little;Undecided;Both beneficial and harmful;4;Yes;Agree;No;Think;Strongly Agree;No;WhatsApp;HTML;Web browser
72;18-24;Female;Bachelor's degree;Student;;Between 2 to 5 hours per day;Good level knowledge;Yes;More beneficial than harmful;5;Yes;Disagree;Yes;No;I disagree;Becoming;WhatsApp;Linear regression;NLP
73;45 and older;Female;Bachelor's degree;Employed;Teacher ;More than 10 hours per day;Heard a little;No;Both beneficial and harmful;1;Undecided;Agree;Yes;No;Strongly Agree;Becoming;WhatsApp;Linear regression;Web browser
74;45 and older;Male;Master's degree or higher;Employed;Teacher ;Between 2 to 5 hours per day;Basic knowledge;No;Both beneficial and harmful;1;No;Agree;Yes;No;Strongly Agree;Becoming;WhatsApp;Don't know;Web browser
75;45 and older;Male;Bachelor's degree;Employed;Teacher ;Between 2 to 5 hours per day;Heard a little;Yes;Both beneficial and harmful;3;Yes;Agree;Yes;Think;Strongly Agree;Becoming;WhatsApp;Don't know;Don't know
76;45 and older;Male;Bachelor's degree;Employed;Teacher;I never use it;Basic knowledge;Yes;Both beneficial and harmful;1;No;Strongly Agree;Yes;No;Agree;No;Don't know;Don't know;Image processing
77;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;No;Strongly Agree;No;WhatsApp;Don't know;Web browser
78;Under 18;Female;High school;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;4;Undecided;Agree;Yes;Think;Agree;Becoming;WhatsApp;Don't know;Web browser
79;35-44;Female;Bachelor's degree;Employed;;Between 0 to 2 hours per day;Heard a little;Undecided;Both beneficial and harmful;3;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;WhatsApp;Don't know;Image processing
80;25-34;Female;Bachelor's degree;Employed;Audiology;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Agree;No;Yes;Strongly Agree;Undecided;WhatsApp;Game algorithm;Don't know
81;18-24;Female;Bachelor's degree;Student;Engineer;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Agree;Yes;Yes;Strongly Agree;Undecided;WhatsApp;Linear regression;NLP
82;45 and older;Male;Bachelor's degree;Emekliyim;Teacher;Between 5 to 10 hours per day;Heard a little;Yes;Both beneficial and harmful;1;Yes;Strongly Agree;Yes;Think;Strongly Agree;Undecided;WhatsApp;Excel;NLP
83;45 and older;Male;Bachelor's degree;Employed;Teacher ;Between 0 to 2 hours per day;Basic knowledge;No;More harmful than beneficial;1;No;Agree;No;No;Strongly Agree;No;WhatsApp;Linear regression;Web browser
84;18-24;Female;Bachelor's degree;Student;Doktor-Student;More than 10 hours per day;Good level knowledge;Yes;More harmful than beneficial;3;Yes;Undecided;Yes;Think;Strongly Agree;Undecided;Netflix recommendations;Excel;Web browser
85;45 and older;Male;Primary education;Employed;Marketing;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;2;Undecided;Strongly disagree;Yes;Think;Strongly Agree;Becoming;WhatsApp;HTML;Web browser
86;45 and older;Male;Bachelor's degree;Employed;Teacher ;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;Think;Agree;No;WhatsApp;Game algorithm;Don't know
87;35-44;Female;High school;Unemployed;Housewife;Between 0 to 2 hours per day;Basic knowledge;No;Definitely harmful;1;No;Agree;Yes;Think;Undecided;Becoming;WhatsApp;Don't know;Don't know
88;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;Both beneficial and harmful;3;Yes;Agree;Yes;Think;Agree;Becoming;WhatsApp;Excel;Image processing
89;45 and older;Male;Bachelor's degree;Employed;Teacher ;More than 10 hours per day;Good level knowledge;No;Both beneficial and harmful;5;Undecided;Undecided;Yes;No;Agree;Undecided;WhatsApp;Don't know;Don't know
90;25-34;Male;Bachelor's degree;Employed;Engineer;More than 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;2;Yes;Undecided;Yes;No;Undecided;Becoming;WhatsApp;Game algorithm;NLP
91;45 and older;Male;Bachelor's degree;Emekliyim;;Between 0 to 2 hours per day;Basic knowledge;No;More harmful than beneficial;2;No;Disagree;Yes;No;Strongly Agree;No;Netflix recommendations;Don't know;NLP
92;45 and older;Male;Bachelor's degree;Employed;Teacher ;Between 2 to 5 hours per day;Basic knowledge;Yes;More beneficial than harmful;1;Yes;Undecided;Yes;Think;Agree;Undecided;WhatsApp;Linear regression;NLP
93;45 and older;Male;Master's degree or higher;Employed;Teacher ;Between 0 to 2 hours per day;Good level knowledge;Yes;Definitely beneficial;4;Yes;Disagree;Yes;Think;Strongly disagree;Becoming;WhatsApp;Don't know;Web browser
94;35-44;Female;Master's degree or higher;Employed;Teacher ;Between 0 to 2 hours per day;Good level knowledge;Yes;Both beneficial and harmful;2;Yes;Undecided;Yes;Think;Strongly Agree;Undecided;WhatsApp;Linear regression;Web browser
95;35-44;Female;High school;Employed;;More than 10 hours per day;Heard a little;No;Both beneficial and harmful;1;Yes;Undecided;Yes;Think;Undecided;No;Netflix recommendations;Don't know;Don't know
96;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Heard a little;Yes;Definitely beneficial;2;Yes;Undecided;Undecided;Think;Undecided;Becoming;Don't know;Don't know;Don't know
97;18-24;Female;High school;Student;Engineer;Between 5 to 10 hours per day;Good level knowledge;Yes;Definitely beneficial;5;Yes;Disagree;No;No;Agree;No;WhatsApp;Linear regression;NLP
98;35-44;Male;Bachelor's degree;Employed;Security;Between 0 to 2 hours per day;Basic knowledge;Yes;Both beneficial and harmful;1;No;Disagree;Yes;Think;Agree;No;WhatsApp;Game algorithm;Image processing
99;45 and older;Male;Master's degree or higher;Employed;Teacher ;Between 0 to 2 hours per day;Basic knowledge;Undecided;More harmful than beneficial;3;Undecided;Strongly disagree;No;Think;Strongly Agree;Becoming;WhatsApp;Don't know;Don't know
100;25-34;Male;Bachelor's degree;Employed;Teacher;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;2;Yes;Agree;Yes;Think;Agree;Undecided;WhatsApp;Linear regression;NLP
101;25-34;Male;Master's degree or higher;Employed;Uzman;More than 10 hours per day;Good level knowledge;Yes;More beneficial than harmful;3;Yes;Disagree;Yes;No;Agree;No;WhatsApp;HTML;NLP
102;45 and older;Female;High school;Emekliyim;;Between 2 to 5 hours per day;Heard a little;No;Both beneficial and harmful;1;No;Agree;Undecided;No;Agree;No;Netflix recommendations;Don't know;NLP
