ID;Age range;Gender;Education level;Employment status;Occupation (optional);Tech usage frequency;Knowledge about AI;Trust AI?;Beneficial or harmful?;AI use 1 to 5;Like AI products in future?;AI threatens individual freedoms;Could AI eliminate professions?;Could AI affect your job?;AI should be limited by ethical rules?;Could AI become conscious like humans?;NOT an AI application?;ML algo used in AI field ;Which type of AI is ChatGPT
103;45 and older;Female;Bachelor's degree;Employed;Teacher ;Between 5 to 10 hours per day;Basic knowledge;Undecided;Definitely beneficial;2;Yes;Undecided;Yes;Think;Strongly Agree;Becoming;WhatsApp;Linear regression;NLP
104;45 and older;Female;Bachelor's degree;Employed;Teacher ;Between 0 to 2 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Undecided;Agree;Yes;Undecided;Strongly Agree;Becoming;Don't know;Don't know;NLP
105;45 and older;Female;Master's degree or higher;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;No;Agree;Yes;Undecided;Strongly Agree;Becoming;WhatsApp;Excel;Web browser
106;35-44;Female;Master's degree or higher;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Agree;Yes;Think;Strongly Agree;No;WhatsApp;Game algorithm;NLP
107;35-44;Male;Bachelor's degree;Employed;Engineer;More than 10 hours per day;Heard a little;No;More beneficial than harmful;1;Yes;Agree;Yes;Think;Agree;Becoming;WhatsApp;Don't know;Don't know
108;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;3;Undecided;Strongly disagree;Yes;Think;Agree;Becoming;WhatsApp;Don't know;NLP
109;45 and older;Female;Master's degree or higher;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;More harmful than beneficial;3;Undecided;Agree;Yes;Think;Agree;Undecided;WhatsApp;Game algorithm;Web browser
110;35-44;Female;Bachelor's degree;Employed;Teacher ;Between 0 to 2 hours per day;Basic knowledge;No;More harmful than beneficial;1;Undecided;Strongly Agree;Yes;No;Strongly Agree;No;WhatsApp;Don't know;NLP
111;45 and older;Male;Master's degree or higher;Employed;Teacher ;Between 0 to 2 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Yes;Undecided;Yes;Think;Strongly Agree;Becoming;Netflix recommendations;Don't know;Web browser
112;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;Both beneficial and harmful;3;Undecided;Agree;Yes;Think;Strongly Agree;Becoming;WhatsApp;Linear regression;Web browser
113;25-34;Female;Bachelor's degree;Employed;Engineer;Between 2 to 5 hours per day;Heard a little;No;Both beneficial and harmful;2;Undecided;Agree;Yes;No;Strongly Agree;No;WhatsApp;Don't know;Web browser
114;45 and older;Female;Master's degree or higher;Employed;Teacher ;Between 0 to 2 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;Undecided;Undecided;Undecided;No;Strongly Agree;Becoming;WhatsApp;Game algorithm;Web browser
115;45 and older;Male;Master's degree or higher;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;More harmful than beneficial;2;No;Strongly Agree;Yes;No;Strongly Agree;Becoming;WhatsApp;Game algorithm;Web browser
116;Under 18;Female;High school;Employed;;Between 0 to 2 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Agree;Yes;Undecided;Agree;Becoming;WhatsApp;Game algorithm;Web browser
117;25-34;Female;Bachelor's degree;Employed;Engineer;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;1;Undecided;Agree;Yes;No;Agree;Undecided;WhatsApp;Game algorithm;Web browser
118;25-34;Female;Bachelor's degree;Employed;Engineer;Between 5 to 10 hours per day;Heard a little;No;Both beneficial and harmful;1;Undecided;Agree;Yes;No;Agree;Becoming;WhatsApp;Don't know;NLP
119;35-44;Female;High school;Employed;;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;2;Undecided;Undecided;Yes;No;Undecided;No;WhatsApp;Don't know;Web browser
120;35-44;Female;Bachelor's degree;Employed;Teacher ;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Yes;Agree;Yes;No;Strongly Agree;No;WhatsApp;Game algorithm;Don't know
121;45 and older;Male;High school;Employed;Sigortacý;Between 5 to 10 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Undecided;Undecided;Yes;No;Strongly Agree;Becoming;Don't know;Don't know;Image processing
122;25-34;Male;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;More harmful than beneficial;3;Yes;Undecided;No;No;Agree;Undecided;WhatsApp;Excel;Web browser
123;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 0 to 2 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Yes;Agree;Yes;Think;Agree;Becoming;WhatsApp;Game algorithm;Oyun geliþtirme
124;45 and older;Female;Bachelor's degree;Employed;Teacher;Between 0 to 2 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;No;Agree;Yes;Think;Agree;Becoming;Don't know;Don't know;Don't know
125;25-34;Male;Bachelor's degree;Employed;;More than 10 hours per day;Good level knowledge;I fully trust it;Both beneficial and harmful;1;Yes;Disagree;Yes;Think;Agree;Becoming;WhatsApp;Linear regression;NLP
126;25-34;Female;Bachelor's degree;Employed;Teacher ;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;4;Yes;Agree;Yes;Think;Agree;Undecided;WhatsApp;Don't know;Don't know
127;25-34;Female;Bachelor's degree;Employed;Teacher;Between 0 to 2 hours per day;Basic knowledge;No;Both beneficial and harmful;1;Undecided;Agree;Yes;Yes;Agree;Becoming;WhatsApp;Game algorithm;NLP
128;25-34;Female;Bachelor's degree;Employed;Teacher;Between 5 to 10 hours per day;Basic knowledge;No;More harmful than beneficial;1;No;Strongly Agree;Yes;Think;Agree;No;WhatsApp;Game algorithm;Image processing
129;45 and older;Female;Bachelor's degree;Employed;Teacher;Between 0 to 2 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Undecided;Agree;Yes;Yes;Undecided;No;Netflix recommendations;Don't know;Don't know
130;25-34;Female;Bachelor's degree;Employed;Civil servant;More than 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;3;Yes;Disagree;No;No;Strongly Agree;No;WhatsApp;HTML;Don't know
131;45 and older;Female;Master's degree or higher;Employed;Teacher;Between 5 to 10 hours per day;Basic knowledge;Yes;More beneficial than harmful;1;Undecided;Agree;Yes;Think;Strongly Agree;Undecided;WhatsApp;Game algorithm;Web browser
132;35-44;Female;Master's degree or higher;Employed;Teacher;Between 2 to 5 hours per day;No knowledge;Undecided;Both beneficial and harmful;2;No;Undecided;No;No;Strongly Agree;No;Netflix recommendations;Don't know;Web browser
133;45 and older;Female;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;Both beneficial and harmful;1;Undecided;Agree;Yes;Undecided;Agree;Becoming;WhatsApp;Don't know;NLP
134;35-44;Female;Master's degree or higher;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;Both beneficial and harmful;2;No;Undecided;Yes;Think;Strongly Agree;Becoming;WhatsApp;Game algorithm;Web browser
135;45 and older;Female;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Agree;Yes;Think;Agree;Becoming;Netflix recommendations;Don't know;NLP
136;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;No;Both beneficial and harmful;2;Undecided;Agree;Yes;No;Agree;No;Netflix recommendations;Game algorithm;Web browser
137;25-34;Female;Bachelor's degree;Employed;Teacher ;Between 0 to 2 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;Undecided;Agree;Yes;Think;Strongly Agree;Undecided;WhatsApp;Game algorithm;Web browser
138;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;No;More harmful than beneficial;2;Undecided;Undecided;Yes;Undecided;Agree;Becoming;WhatsApp;HTML;NLP
139;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Agree;Yes;Undecided;Agree;No;Netflix recommendations;HTML;Image processing
140;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Undecided;Yes;Think;Agree;Becoming;WhatsApp;Linear regression;Don't know
141;45 and older;Female;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;Yes;More beneficial than harmful;3;Yes;Agree;Yes;Think;Strongly Agree;No;WhatsApp;Game algorithm;Web browser
142;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 0 to 2 hours per day;Heard a little;Yes;Both beneficial and harmful;1;Yes;Strongly disagree;Yes;No;Strongly Agree;Becoming;WhatsApp;Don't know;Don't know
143;18-24;Female;Bachelor's degree;Student;Student ;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Undecided;Agree;Yes;Think;Strongly Agree;Becoming;WhatsApp;Linear regression;Web browser
144;18-24;Male;Bachelor's degree;Student;;Between 5 to 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;4;Undecided;Agree;Yes;No;Agree;No;Netflix recommendations;Don't know;Web browser
145;18-24;Female;Bachelor's degree;Student;;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;4;Yes;Disagree;Yes;Yes;Agree;Becoming;WhatsApp;Don't know;Oyun geliþtirme
146;45 and older;Female;Master's degree or higher;Emekliyim;Chemist;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Undecided;Disagree;Yes;Think;Agree;Becoming;WhatsApp;Don't know;Web browser
147;18-24;Male;Bachelor's degree;Student;Engineer;More than 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Disagree;No;No;I disagree;No;ChatGPT;HTML;Image processing
148;18-24;Male;Bachelor's degree;Student;;More than 10 hours per day;Basic knowledge;Undecided;More beneficial than harmful;1;No;Strongly disagree;Yes;No;Undecided;Undecided;WhatsApp;Linear regression;NLP
149;45 and older;Female;Primary education;Unemployed;Housewife ;I never use it;No knowledge;Undecided;Both beneficial and harmful;1;No;Strongly Agree;Undecided;No;Agree;Undecided;Don't know;Don't know;Don't know
150;Under 18;Female;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Agree;Yes;Think;Agree;No;WhatsApp;Don't know;Web browser
151;45 and older;Female;Bachelor's degree;Unemployed;Accounting;Between 5 to 10 hours per day;No knowledge;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;No;Agree;Becoming;Don't know;Don't know;Don't know
152;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;2;No;Disagree;Yes;No;Undecided;No;WhatsApp;Linear regression;NLP
153;45 and older;Female;Bachelor's degree;Employed;Teacher ;Between 0 to 2 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;Undecided;Agree;Yes;Think;Agree;No;WhatsApp;Game algorithm;Web browser
154;25-34;Female;Bachelor's degree;Employed;Teacher;More than 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Yes;Strongly Agree;Yes;Yes;Strongly Agree;Becoming;WhatsApp;HTML;Web browser
155;18-24;Male;High school;Student;;Between 5 to 10 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Undecided;Undecided;Yes;No;Strongly Agree;Becoming;Netflix recommendations;Game algorithm;NLP
156;18-24;Female;Bachelor's degree;Student;Student ;Between 2 to 5 hours per day;Good level knowledge;Yes;Both beneficial and harmful;2;Undecided;Undecided;No;No;Agree;No;WhatsApp;Linear regression;NLP
157;35-44;Male;Bachelor's degree;Employed;Teacher ;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;Think;Strongly Agree;Becoming;Don't know;Don't know;NLP
158;18-24;Female;Bachelor's degree;Unemployed;;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Undecided;Undecided;Yes;Undecided;Agree;Undecided;WhatsApp;Excel;NLP
159;18-24;Male;Bachelor's degree;Student;Student ;Between 2 to 5 hours per day;Basic knowledge;Yes;Definitely beneficial;1;Yes;Strongly disagree;No;Think;I disagree;No;Don't know;Excel;Web browser
160;35-44;Female;Bachelor's degree;Employed;Teacher ;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Undecided;Yes;Undecided;Agree;No;WhatsApp;Game algorithm;Web browser
161;45 and older;Female;High school;Emekliyim;Housewife;Between 0 to 2 hours per day;Basic knowledge;I fully trust it;More harmful than beneficial;3;Undecided;Undecided;Undecided;Undecided;Undecided;Becoming;Don't know;Don't know;Don't know
162;25-34;Male;Bachelor's degree;Employed;;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Yes;Undecided;Yes;Undecided;Strongly Agree;Becoming;Netflix recommendations;Don't know;Web browser
163;18-24;Female;High school;Student;Student ;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;3;Yes;Undecided;Yes;Think;Strongly Agree;Becoming;WhatsApp;Linear regression;NLP
164;Under 18;Female;High school;Student;;Between 2 to 5 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;4;Undecided;Agree;Yes;Undecided;I disagree;Becoming;WhatsApp;Linear regression;Web browser
165;18-24;Female;Bachelor's degree;Unemployed;Intern;Between 2 to 5 hours per day;Good level knowledge;Undecided;More beneficial than harmful;3;Yes;Disagree;Yes;Think;Agree;Undecided;WhatsApp;Don't know;Don't know
166;Under 18;Female;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;4;Yes;Undecided;No;No;I disagree;Becoming;Don't know;Game algorithm;Web browser
167;Under 18;Female;High school;Student;;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;2;Yes;Agree;Yes;Undecided;Undecided;Undecided;WhatsApp;HTML;Web browser
168;Under 18;Male;High school;Student;Student;I never use it;Heard a little;No;Definitely harmful;1;No;Agree;Yes;No;Strongly Agree;Undecided;Netflix recommendations;Don't know;NLP
169;Under 18;Male;High school;Student;;Between 2 to 5 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;2;Undecided;Undecided;Yes;No;I disagree;Becoming;WhatsApp;Game algorithm;Web browser
170;Under 18;Female;High school;Student;;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;3;Yes;Agree;No;Undecided;Undecided;No;WhatsApp;Don't know;Oyun geliþtirme
171;Under 18;Female;High school;Student;;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;No;Strongly Agree;Yes;Think;Strongly Agree;Becoming;Netflix recommendations;Excel;Web browser
172;Under 18;Female;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Undecided;Undecided;Undecided;Think;Undecided;Undecided;Don't know;Don't know;Don't know
173;Under 18;Female;High school;Student;Student;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Undecided;Yes;Think;Agree;No;Netflix recommendations;Game algorithm;NLP
174;35-44;Female;Master's degree or higher;Employed;Teacher ;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;Think;Strongly Agree;Undecided;WhatsApp;Linear regression;Web browser
175;Under 18;Male;High school;Student;;Between 0 to 2 hours per day;Basic knowledge;Undecided;More harmful than beneficial;3;Undecided;Disagree;Undecided;Undecided;Agree;No;WhatsApp;Linear regression;Web browser
176;35-44;Male;Bachelor's degree;Employed;Teacher ;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;3;Yes;Agree;Yes;Yes;Strongly Agree;Becoming;Netflix recommendations;Game algorithm;NLP
177;Under 18;Female;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;4;Yes;Agree;No;Think;Agree;Becoming;WhatsApp;HTML;Web browser
178;Under 18;Female;High school;Student;Student ;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;4;Yes;Agree;Yes;Undecided;Undecided;Becoming;Netflix recommendations;Don't know;Don't know
179;35-44;Female;High school;Unemployed;Housewife ;Between 5 to 10 hours per day;Heard a little;Undecided;Both beneficial and harmful;3;Undecided;Undecided;Yes;No;Undecided;Becoming;WhatsApp;Don't know;Image processing
180;Under 18;Female;High school;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Undecided;More harmful than beneficial;1;Undecided;Agree;Yes;Think;Undecided;No;WhatsApp;HTML;Image processing
181;18-24;Female;High school;Student;;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;3;Yes;Undecided;Yes;Undecided;Agree;Undecided;WhatsApp;Excel;Web browser
182;Under 18;Female;High school;Student;;Between 0 to 2 hours per day;Basic knowledge;Undecided;More harmful than beneficial;3;Undecided;Undecided;Yes;Think;I disagree;Definitely Becoming;Netflix recommendations;Excel;Web browser
183;35-44;Male;Master's degree or higher;Employed;Teacher;More than 10 hours per day;Basic knowledge;No;More harmful than beneficial;2;Undecided;Agree;Yes;Think;Strongly Agree;Definitely Becoming;WhatsApp;Game algorithm;Web browser
184;35-44;Male;Bachelor's degree;Employed;Trades;Between 2 to 5 hours per day;Heard a little;No;Both beneficial and harmful;1;Undecided;Agree;Yes;Think;Strongly Agree;Becoming;WhatsApp;Don't know;Don't know
185;Under 18;Female;High school;Student;Student ;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Yes;Disagree;No;Think;Agree;Definitely Becoming;WhatsApp;Don't know;NLP
186;Under 18;Female;High school;Student;Student ;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Yes;Agree;Yes;Undecided;Agree;Becoming;WhatsApp;Linear regression;Web browser
187;Under 18;Female;High school;Student;Student ;More than 10 hours per day;Heard a little;Undecided;Both beneficial and harmful;3;Undecided;Agree;Yes;No;Strongly Agree;Becoming;Don't know;Don't know;Web browser
188;45 and older;Female;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;Yes;Definitely beneficial;2;Yes;Undecided;Yes;No;Agree;No;Netflix recommendations;Don't know;Web browser
189;Under 18;Female;High school;Student;;Between 0 to 2 hours per day;No knowledge;No;Both beneficial and harmful;1;No;Undecided;Yes;Undecided;Agree;Becoming;WhatsApp;HTML;Web browser
190;Under 18;Female;High school;Student;Student ;Between 0 to 2 hours per day;Heard a little;Undecided;Both beneficial and harmful;3;No;Strongly Agree;Yes;Undecided;Strongly Agree;Becoming;WhatsApp;Don't know;Web browser
191;Under 18;Female;High school;Student;;Between 0 to 2 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Yes;Disagree;Yes;No;Strongly Agree;Definitely Becoming;Netflix recommendations;HTML;Web browser
192;25-34;Male;Bachelor's degree;Employed;Manager;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;1;No;Agree;No;No;Agree;No;WhatsApp;Linear regression;Web browser
193;Under 18;Female;High school;Student;Student ;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;3;No;Agree;Yes;No;Agree;No;Netflix recommendations;Don't know;Web browser
194;Under 18;Female;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Undecided;Disagree;Yes;Think;Agree;No;Don't know;Don't know;NLP
195;18-24;Female;Bachelor's degree;Student;Engineer;Between 5 to 10 hours per day;Heard a little;No;Both beneficial and harmful;3;Undecided;Agree;Yes;Think;Strongly Agree;Definitely Becoming;WhatsApp;Don't know;Don't know
196;35-44;Female;High school;Unemployed;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;Netflix recommendations;Don't know;NLP
197;45 and older;Female;High school;Emekliyim;Retired;Between 0 to 2 hours per day;Heard a little;Undecided;More harmful than beneficial;1;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;WhatsApp;Don't know;Don't know
198;45 and older;Male;Bachelor's degree;Employed;Teacher ;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Yes;Agree;No;Think;Agree;No;WhatsApp;HTML;Don't know
199;18-24;Female;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;I fully trust it;Definitely beneficial;4;Yes;Strongly disagree;Yes;Think;Agree;No;WhatsApp;Excel;Web browser
200;Under 18;Female;High school;Student;Student ;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Yes;Undecided;Yes;Think;Undecided;Undecided;WhatsApp;Don't know;Web browser
201;Under 18;Female;High school;Student;Student ;Between 0 to 2 hours per day;Basic knowledge;Yes;More beneficial than harmful;4;Yes;Undecided;Yes;No;Strongly Agree;No;Netflix recommendations;Excel;Web browser
202;45 and older;Male;Bachelor's degree;Employed;Teacher ;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;1;Yes;Strongly Agree;Yes;Think;Strongly Agree;Undecided;WhatsApp;Linear regression;NLP
203;45 and older;Male;Bachelor's degree;Employed;Teacher;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;4;Yes;Agree;Yes;Think;Strongly Agree;No;WhatsApp;Linear regression;Web browser
204;25-34;Male;Master's degree or higher;Employed;Engineer;More than 10 hours per day;Expert-level knowledge;Yes;Definitely beneficial;5;Yes;Strongly disagree;Yes;Yes;Agree;No;WhatsApp;Linear regression;NLP
205;Under 18;Female;Primary education;Student;;Between 0 to 2 hours per day;Good level knowledge;No;Both beneficial and harmful;2;Undecided;Undecided;Undecided;Undecided;Undecided;No;Netflix recommendations;Excel;Web browser
